レディセット アルティマRB6.6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34310.html,36800,オフロード,2WD
ターボスコーピオン,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30616.html,32000,オフロード,2WD
ジャベリン,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30618.html,44000,オフロード,4WD
DBX VE 2.0,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34201t2.html,42000,オフロード,4WD
モンスタートラッカー,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34403t1.html,23800,モンスタートラック,2WD
レーザーZX6.6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30047.html,66000,オフロード,4WD
レディセット EP FAZER ダートホグ,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34351t2.html,29800,オフロード,4WD
アルティマRB6.6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34302.html,49800,オフロード,2WD
オプティマ,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30617.html,42000,オフロード,4WD
マッドバグVEi,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34354t3.html,42000,オフロード,4WD
レディセット レイジVEi,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34353.html,40000,オフロード,4WD
アルティマ SC6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30070b.html,49800,ショートコーストラック,2WD
レディセット アルティマ SC6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30859.html,49000,ショートコーストラック,2WD
トマホーク,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30615.html,32000,オフロード,2WD
アルティマRB6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/34301.html,44000,オフロード,2WD
ビートル 2014,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30614.html,28800,オフロード,2WD
サンドマスター レーシングミク 2014バージョン レディセット,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30830t1.html,25800,オフロード,2WD
マッドバグVE,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30994t2.html,38000,オフロード,4WD
EZシリーズ サンドマスター,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30832t4.html,12800,オフロード,2WD
スコーピオン,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30613.html,25800,オフロード,2WD
レディセット アルティマ RB6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30858.html,34000,オフロード,2WD
EZシリーズ AXXE,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30838t1.html,12800,オフロード,2WD
EZシリーズ NeXXt ,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30835t1.html,11800,オフロード,2WD
アルティマ RB6,,2,http://rc.kyosho.com/ja/rccar/epoffroad/30068.html,42000,オフロード,2WD
